Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
SERPINA3,12,Schizophrenia,MESH:D012559,,Amitriptyline|Chlorpromazine|Clozapine|Copper|Fluoxetine|Haloperidol|Imipramine|olanzapine|Plant Preparations|Sertraline|Smoke|Thioridazine,32.19,286
CTSK,1513,Schizophrenia,MESH:D012559,,Dextroamphetamine|Carbamazepine|Chlorpromazine|Clozapine|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Ketamine|Lipopolysaccharides|Methionine|Valproic Acid|Vitamin D,32.10,247
CYP1A2,1544,Schizophrenia,MESH:D012559,,Amitriptyline|Amphetamine|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Copper|Dehydroepiandrosterone|Dopamine|Eicosapentaenoic Acid|Imipramine|Lipopolysaccharides|Loxapine|Methamphetamine|Methionine|norclozapine|olanzapine|Phenobarbital|Plant Preparations|Propranolol|Reserpine|Smoke|Sulpiride|Tetrachloroethylene|Thioridazine|Valproic Acid,32.09,258
CCND1,595,Schizophrenia,MESH:D012559,,Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Dehydroepiandrosterone|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Calcifediol|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Phenobarbital|Plant Preparations|Reserpine|Smoke|Thioridazine|Valproic Acid|Vitamin A,31.79,268
MAPK8,5599,Schizophrenia,MESH:D012559,,Homocysteine|Amphetamine|Carbamazepine|Chlorpromazine|Cocaine|Copper|Diazepam|Dopamine|Eicosapentaenoic Acid|Fluoxetine|Folic Acid|Haloperidol|Lipopolysaccharides|Lithium|Methionine|Minocycline|Norepinephrine|Phenobarbital|Plant Preparations|Sertraline|Trifluoperazine|Valproic Acid,31.77,138
HMGCS1,3157,Schizophrenia,MESH:D012559,,Amitriptyline|Caffeine|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Methionine|olanzapine|Phenobarbital|Valproic Acid|ziprasidone,31.62,287
SOD2,6648,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|Amphetamine|Caffeine|Cannabidiol|Carbamazepine|Clozapine|Copper|Dehydroepiandrosterone|Diazepam|Dopamine|Epinephrine|Folic Acid|Haloperidol|Calcifediol|Lipopolysaccharides|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phencyclidine|Phenobarbital|Plant Preparations|Smoke|Trazodone|Valproic Acid|Vitamin A,31.60,239
PENK,5179,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Apomorphine|Cannabidiol|Carbamazepine|Clozapine|Cocaine|Diazepam|Fluoxetine|Haloperidol|Methamphetamine|Propranolol|Reserpine|Valproic Acid,31.55,229
PKM,5315,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Copper|Dopamine|Epinephrine|Folic Acid|Haloperidol|Lipopolysaccharides|Methamphetamine|Methionine|Phenobarbital|Plant Preparations|Promethazine|Propranolol|Valproic Acid,31.55,228
FNDC4,64838,Schizophrenia,MESH:D012559,,Amitriptyline|Chlorpromazine|Clozapine|Fluoxetine|Haloperidol|Imipramine|Sertraline|Tetrachloroethylene|Thioridazine|Valproic Acid,31.46,244
DUSP1,1843,Schizophrenia,MESH:D012559,,Homocysteine|Amphetamine|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Folic Acid|Haloperidol|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Phenobarbital|Sertraline|Valproic Acid,31.28,252
PPARGC1A,10891,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Copper|Dehydroepiandrosterone|Eicosapentaenoic Acid|Epinephrine|Folic Acid|Lipopolysaccharides|Methamphetamine|Methionine|Norepinephrine|olanzapine|Phenobarbital|Propranolol|Pyridoxine|Smoke|Valproic Acid|Vitamin A,31.26,89
CYP2E1,1571,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|Caffeine|Carbamazepine|Chlorpromazine|Copper|Dehydroepiandrosterone|Dopamine|Eicosapentaenoic Acid|Fluphenazine|Folic Acid|Ketamine|lamotrigine|Lipopolysaccharides|Methamphetamine|Methionine|Phenobarbital|Plant Preparations|Smoke|Tetrachloroethylene|Thioridazine|Valproic Acid|Vitamin A|Vitamin B 12,30.96,70
SLC6A2,6530,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Clozapine|Cocaine|Copper|Dopamine|Fluoxetine|Ketamine|Methamphetamine|Norepinephrine|Reserpine|Valproic Acid,30.93,153
ALDH1A1,216,Schizophrenia,MESH:D012559,,Amitriptyline|Amphetamine|Caffeine|Carbamazepine|Chlorpromazine|Clozapine|Copper|Dehydroepiandrosterone|Folic Acid|Imipramine|Lipopolysaccharides|Phencyclidine|Phenobarbital|Plant Preparations|Tetrachloroethylene|Valproic Acid|Vitamin A,30.75,177
GRIN1,2902,Schizophrenia,MESH:D012559,,Homocysteine|Amphetamine|Clozapine|Cocaine|Copper|Dopamine|Folic Acid|Haloperidol|Ketamine|Methamphetamine|Methionine|Phencyclidine|Plant Preparations|Valproic Acid,30.72,232
ABCB1B,18669,Schizophrenia,MESH:D012559,,Bromocriptine|Carbamazepine|Chlorpromazine|Clozapine|Folic Acid|Lipopolysaccharides|Lithium|Methionine|Metoclopramide|Paliperidone Palmitate|Plant Preparations|Risperidone|Smoke|Tetrachloroethylene,30.49,259
GABRB3,2562,Schizophrenia,MESH:D012559,,gamma-Aminobutyric Acid|Amitriptyline|Clozapine|Cocaine|Diazepam|Folic Acid|Haloperidol|Methionine|Muscimol|Phenobarbital|Valproic Acid|Vitamin A,30.46,223
GSK3B,2932,Schizophrenia,MESH:D012559,marker/mechanism,Amphetamine|Caffeine|Carbamazepine|Clozapine|Cocaine|Copper|Fluoxetine|Folic Acid|Haloperidol|Ketamine|Lipopolysaccharides|Lithium|Methionine|Minocycline|olanzapine|Phenobarbital|Propranolol|Risperidone|Valproic Acid,30.46,333
EFNA2,1943,Schizophrenia,MESH:D012559,,Carbamazepine|Cocaine|Copper|Fluoxetine|Folic Acid|Ketamine|Methionine|Valproic Acid|Venlafaxine Hydrochloride,30.30,12
MAP2,4133,Schizophrenia,MESH:D012559,,Chlorpromazine|Cocaine|Copper|Cytarabine|Folic Acid|Haloperidol|Calcifediol|Methamphetamine|Methionine|olanzapine|Risperidone|Valproic Acid|Venlafaxine Hydrochloride,30.22,239
RELA,5970,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|Homocysteine|Amitriptyline|Caffeine|Cannabidiol|Carbamazepine|Clonidine|Clozapine|Cocaine|Copper|Cytarabine|Dehydroepiandrosterone|Diazepam|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phenobarbital|Plant Preparations|Smoke|Valproic Acid,30.12,242
FABP1,2168,Schizophrenia,MESH:D012559,,Amitriptyline|Chlorpromazine|Clozapine|Dehydroepiandrosterone|Fluoxetine|Imipramine|Lipopolysaccharides|Methionine|Phenobarbital|Sertraline|Smoke|Tetrachloroethylene|Thioridazine|Valproic Acid,30.02,173
GRIA2,2891,Schizophrenia,MESH:D012559,,Amphetamine|Clozapine|Cocaine|Cytarabine|Dopamine|Fluoxetine|Haloperidol|Lithium|Methamphetamine|olanzapine|Phenobarbital|Valproic Acid,30.01,272
RGS4,5999,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Clozapine|Cocaine|Cytarabine|Haloperidol|Lipopolysaccharides|Methamphetamine|Phencyclidine|Phenobarbital|Reserpine|Valproic Acid,29.91,230
NOS2,4843,Schizophrenia,MESH:D012559,,"Homocysteine|Amitriptyline|Amphetamine|benserazide, levodopa drug combination|Bromocriptine|Caffeine|Carbamazepine|Copper|Diazepam|Dopamine|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|lamotrigine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Metoclopramide|Minocycline|Norepinephrine|oxcarbazepine|Plant Preparations|Smoke|Trazodone|Valproic Acid|Vitamin A",29.79,37
HTR7,3363,Schizophrenia,MESH:D012559,marker/mechanism,Bromocriptine|Carbamazepine|Clozapine|Copper|Fluoxetine|Folic Acid|Lipopolysaccharides|Methionine|Paliperidone Palmitate|Risperidone|Venlafaxine Hydrochloride,29.65,233
ATF3,467,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|Amitriptyline|Dextroamphetamine|Bromocriptine|Cannabidiol|Carbamazepine|Chlorpromazine|Cocaine|Copper|Cytarabine|Folic Acid|Lipopolysaccharides|Methamphetamine|Methionine|Minocycline|Phenobarbital|Smoke|Valproic Acid,29.47,46
ODC1,4953,Schizophrenia,MESH:D012559,,Apomorphine|Carbamazepine|Chlorpromazine|Copper|Diazepam|Folic Acid|Lipopolysaccharides|Methionine|Norepinephrine|Phenobarbital|Plant Preparations|Propranolol|Reserpine|Tetrachloroethylene|Valproic Acid|Vitamin A,29.39,37
ATP6V1B2,526,Schizophrenia,MESH:D012559,,Caffeine|Chlorpromazine|Clozapine|Copper|Haloperidol|Calcifediol|Lipopolysaccharides|Methamphetamine|Phenobarbital|Valproic Acid,29.38,243
NTS,4922,Schizophrenia,MESH:D012559,,gamma-Aminobutyric Acid|Dextroamphetamine|Amphetamine|Clozapine|Cocaine|Copper|Dehydroepiandrosterone|Dopamine|Haloperidol|Methamphetamine|Reserpine|Valproic Acid,29.38,228
SREBF2,6721,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Haloperidol|olanzapine|Phenylpropanolamine,29.29,39
GRIN2A,2903,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Diazepam|Fluoxetine|Folic Acid|Haloperidol|Ketamine|Lithium|Methamphetamine|Minocycline|Phencyclidine|Valproic Acid|Venlafaxine Hydrochloride,29.26,234
LEP,3952,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|Caffeine|Chlorpromazine|Clozapine|Dehydroepiandrosterone|Eicosapentaenoic Acid|Lipopolysaccharides|Lisdexamfetamine Dimesylate|Methamphetamine|Methionine|olanzapine|Phencyclidine|Phenobarbital|Plant Preparations|Propranolol|Reserpine|Smoke|Vitamin A,29.21,236
AKT1,207,Schizophrenia,MESH:D012559,marker/mechanism,Homocysteine|Amphetamine|Caffeine|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Dehydroepiandrosterone|Eicosapentaenoic Acid|Haloperidol|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Norepinephrine|olanzapine|Phenobarbital|Plant Preparations|Reserpine|Sertraline|Smoke|Trifluoperazine|Valproic Acid|Venlafaxine Hydrochloride|Vitamin A,29.00,306
ADRA2A,150,Schizophrenia,MESH:D012559,,Amphetamine|Carbamazepine|Clonidine|Dopamine|Epinephrine|Folic Acid|Methionine|Norepinephrine|oxcarbazepine|Phenobarbital|Reserpine|Valproic Acid,28.97,12
POMC,5443,Schizophrenia,MESH:D012559,,Homocysteine|Bromocriptine|Caffeine|Carbamazepine|Clonidine|Cocaine|Dopamine|Fluoxetine|Imipramine|Lipopolysaccharides|Lithium|Muscimol|Norepinephrine|olanzapine|Reserpine|Valproic Acid|Vitamin A,28.91,92
HMGCS1,3157,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Haloperidol|olanzapine|Phenylpropanolamine|ziprasidone,28.88,41
OPRM1,4988,Schizophrenia,MESH:D012559,,gamma-Aminobutyric Acid|Dextroamphetamine|Cannabidiol|Clonidine|Cocaine|Copper|Epinephrine|Fluoxetine|Haloperidol|Lipopolysaccharides|Methamphetamine|Norepinephrine|Valproic Acid|Vitamin A,28.80,111
VEGFA,7422,Schizophrenia,MESH:D012559,,Homocysteine|Amitriptyline|Bromocriptine|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Cocaine|Copper|Dopamine|Fluoxetine|Folic Acid|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phenobarbital|Plant Preparations|Propranolol|Smoke|Valproic Acid|Vitamin A,28.52,54
SOD1,6647,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Chlorpromazine|Clozapine|donepezil|Haloperidol|Magnesium|olanzapine|Phenylpropanolamine|Quetiapine Fumarate|Risperidone,28.21,59
CAMK2A,815,Schizophrenia,MESH:D012559,,Chlorpromazine|Clozapine|Cocaine|Copper|Dopamine|Haloperidol|olanzapine|Phencyclidine|Risperidone|Trifluoperazine|Valproic Acid|Venlafaxine Hydrochloride,28.20,345
GAD1,2571,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Chlorpromazine|Clozapine|Diazepam|Haloperidol|olanzapine|Sulpiride,28.06,39
NTRK2,4915,Schizophrenia,MESH:D012559,,Dextroamphetamine|Cocaine|Copper|Fluoxetine|Folic Acid|Imipramine|Ketamine|Lipopolysaccharides|Methionine|Phenobarbital|Reserpine|Valproic Acid|Venlafaxine Hydrochloride,27.98,15
ABCG2,9429,Schizophrenia,MESH:D012559,,Carbamazepine|Chlorpromazine|Clozapine|Folic Acid|Haloperidol|Lipopolysaccharides|Methamphetamine|Methionine|olanzapine|Paliperidone Palmitate|Phenobarbital|Quetiapine Fumarate|Reserpine|Risperidone|Smoke|Sulpiride|Valproic Acid,27.97,355
IL6,3569,Schizophrenia,MESH:D012559,marker/mechanism,S-Adenosylmethionine|gamma-Aminobutyric Acid|Amitriptyline|Dextroamphetamine|Amphetamine|Apomorphine|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Cocaine|Copper|Cytarabine|Dehydroepiandrosterone|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phenobarbital|Plant Preparations|Promethazine|Propranolol|Smoke|Valproic Acid|Vitamin B 12,27.95,62
HOMER1,9456,Schizophrenia,MESH:D012559,,Dextroamphetamine|Caffeine|Clozapine|Cocaine|Fluoxetine|Haloperidol|Lipopolysaccharides|Methamphetamine|Phenobarbital|Risperidone|Valproic Acid,27.94,292
JUNB,3726,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Carbamazepine|Clozapine|Cocaine|Copper|Diazepam|Haloperidol|Lipopolysaccharides|Lithium|Methamphetamine|Norepinephrine|Phenobarbital|Reserpine|Valproic Acid,27.94,234
INHBE,83729,Schizophrenia,MESH:D012559,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Fluoxetine|Haloperidol|Imipramine|Lipopolysaccharides|Phenobarbital|Sertraline|Thioridazine|Valproic Acid,27.92,245
GH1,2688,Schizophrenia,MESH:D012559,,Homocysteine|Apomorphine|Bromocriptine|Caffeine|Carbamazepine|Clonidine|Cocaine|Dehydroepiandrosterone|Lipopolysaccharides|Phenobarbital|Sulpiride|Valproic Acid|Vitamin A,27.83,21
CASP7,840,Schizophrenia,MESH:D012559,,Homocysteine|Clozapine|Copper|Dopamine|Fluoxetine|Folic Acid|Imipramine|Lipopolysaccharides|Lithium|Methionine|Minocycline|Norepinephrine|Plant Preparations|Propranolol|Risperidone|Sertraline|Valproic Acid|Vitamin A,27.75,233
NFKB1,4790,Schizophrenia,MESH:D012559,,Caffeine|Cannabidiol|Carbamazepine|Clonidine|Clozapine|Cocaine|Copper|Diazepam|Epinephrine|Folic Acid|Haloperidol|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Norepinephrine|Phenobarbital|Plant Preparations|Sertraline|Valproic Acid,27.62,235
NGF,4803,Schizophrenia,MESH:D012559,,Dextroamphetamine|Bromocriptine|Cocaine|Copper|Fluphenazine|Folic Acid|Ketamine|Lipopolysaccharides|Methamphetamine|Methionine|Norepinephrine|Promethazine|Propranolol|Reserpine|Valproic Acid,27.50,38
EEF1A1,1915,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Cocaine|Copper|Dopamine|Folic Acid|Lithium|Methionine|Plant Preparations|Tetrachloroethylene|Valproic Acid|Vitamin A,27.30,17
EFNA1,1942,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Cocaine|Cytarabine|Fluoxetine|Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Smoke|Valproic Acid|Venlafaxine Hydrochloride,27.30,13
AVP,551,Schizophrenia,MESH:D012559,marker/mechanism,Antipsychotic Agents|Apomorphine|Chlorpromazine|Clonidine|Fluoxetine|Folic Acid|Lipopolysaccharides|Lithium|Methamphetamine|Metoclopramide|Norepinephrine|Valproic Acid,27.05,48
PLP1,5354,Schizophrenia,MESH:D012559,,Caffeine|Clozapine|Cocaine|Copper|Cytarabine|Haloperidol|Ketamine|olanzapine|Phencyclidine|Valproic Acid,26.98,268
KCNJ6,3763,Schizophrenia,MESH:D012559,,gamma-Aminobutyric Acid|Cocaine|Copper|Dopamine|Fluoxetine|Methamphetamine|Sertraline|Valproic Acid|Venlafaxine Hydrochloride,26.88,14
IL1B,3553,Schizophrenia,MESH:D012559,marker/mechanism,"S-Adenosylmethionine|Amitriptyline|Amphetamine|benserazide, levodopa drug combination|Caffeine|Cannabidiol|Carbamazepine|Clonidine|Cocaine|Copper|Dehydroepiandrosterone|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Glucocorticoids|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phenobarbital|Plant Preparations|Promethazine|Propranolol|Smoke|Valproic Acid|Vitamin A",26.81,40
DEPP1,11067,Schizophrenia,MESH:D012559,,Amitriptyline|Chlorpromazine|Clozapine|Fluoxetine|Haloperidol|Imipramine|Phenobarbital|Sertraline|Thioridazine|Valproic Acid,26.60,243
GNAI2,2771,Schizophrenia,MESH:D012559,,Bromocriptine|Caffeine|Clozapine|Copper|Fluoxetine|Haloperidol|Lipopolysaccharides|Phenobarbital|Reserpine|Valproic Acid|Vitamin A,26.56,225
LRRN1,57633,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Cocaine|Folic Acid|Lipopolysaccharides|Methionine|Smoke|Valproic Acid,26.51,9
SEMA5B,54437,Schizophrenia,MESH:D012559,,Homocysteine|Carbamazepine|Cocaine|Cytarabine|Folic Acid|Methionine|Tetrachloroethylene|Valproic Acid,26.51,8
NR0B2,8431,Schizophrenia,MESH:D012559,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Fluoxetine|Haloperidol|Imipramine|Lipopolysaccharides|Methionine|Phenobarbital|Sertraline|Thioridazine|Valproic Acid,26.49,245
GJA1,2697,Schizophrenia,MESH:D012559,,Amphetamine|Caffeine|Clozapine|Copper|Fluoxetine|Folic Acid|Haloperidol|Calcifediol|Lipopolysaccharides|Lithium|Methionine|Phenobarbital|Propranolol|Valproic Acid|Vitamin A,26.32,231
CREM,1390,Schizophrenia,MESH:D012559,,Amitriptyline|Dextroamphetamine|Amphetamine|Cocaine|Copper|Imipramine|Lipopolysaccharides|Methamphetamine|Norepinephrine|Phenobarbital|Reserpine|Valproic Acid,26.24,19
GNAS,2778,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Clozapine|Fluoxetine|Folic Acid|Haloperidol|Norepinephrine|Phencyclidine|Phenobarbital|Propranolol|Reserpine|Valproic Acid,26.09,227
RGS9,8787,Schizophrenia,MESH:D012559,marker/mechanism,"Amphetamine|Apomorphine|benserazide, levodopa drug combination|Cocaine|Haloperidol|Ketamine|Phenobarbital|Reserpine|Valproic Acid",26.05,106
CAT,847,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Diazepam|Fluphenazine|Haloperidol|olanzapine|Phenylpropanolamine|Quetiapine Fumarate|Sulpiride,25.92,47
SERPINA3,12,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Chlorpromazine|Clozapine|Haloperidol|olanzapine|Thioridazine,25.91,40
PVALB,5816,Schizophrenia,MESH:D012559,marker/mechanism,Amphetamine|Apomorphine|Clozapine|Cocaine|Copper|Haloperidol|Ketamine|Phencyclidine|Tetrachloroethylene|Valproic Acid,25.87,228
CKB,1152,Schizophrenia,MESH:D012559,,Amphetamine|Carbamazepine|Cocaine|Cytarabine|Folic Acid|Calcifediol|Lithium|Methamphetamine|Methionine|Phenobarbital|Valproic Acid|Vitamin D,25.86,27
MAOB,4129,"Schizophrenia, Paranoid",MESH:D012563,,Aripiprazole|Carbamazepine|Clozapine|Haloperidol|olanzapine|Phenylpropanolamine|Risperidone,25.83,51
HMGCR,3156,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Chlorpromazine|Clozapine|Haloperidol|olanzapine|Phenylpropanolamine|Risperidone|ziprasidone,25.76,54
ABCG2,9429,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Chlorpromazine|Clozapine|Haloperidol|olanzapine|Quetiapine Fumarate|Risperidone|Sulpiride,25.67,56
XBP1,7494,Schizophrenia,MESH:D012559,,Homocysteine|Carbamazepine|Chlorpromazine|Cocaine|Copper|Folic Acid|Lipopolysaccharides|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phenobarbital|Sertraline|Valproic Acid,25.67,38
FAS,355,Schizophrenia,MESH:D012559,,Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Cytarabine|Eicosapentaenoic Acid|Epinephrine|Folic Acid|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Phenobarbital|Propranolol|Risperidone|Valproic Acid|Vitamin A,25.60,260
MBP,4155,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Copper|Folic Acid|Haloperidol|Ketamine|Methamphetamine|Methionine|Phencyclidine|Quetiapine Fumarate|Smoke|Valproic Acid,25.56,244
NPTX2,4885,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Copper|Fluoxetine|Folic Acid|Haloperidol|Methamphetamine|Methionine|Valproic Acid,25.43,225
SPRED1,161742,Schizophrenia,MESH:D012559,,Homocysteine|Carbamazepine|Cocaine|Folic Acid|Methamphetamine|Methionine|Phenobarbital|Tetrachloroethylene|Valproic Acid,25.43,13
MAPK14,1432,Schizophrenia,MESH:D012559,,Homocysteine|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Diazepam|Fluoxetine|Haloperidol|Lipopolysaccharides|Methionine|Phenobarbital|Plant Preparations|Tetrachloroethylene|Trifluoperazine|Valproic Acid,25.29,246
HTR4,3360,Schizophrenia,MESH:D012559,,Carbamazepine|Cocaine|Copper|Fluoxetine|Folic Acid|Lipopolysaccharides|Metoclopramide|Valproic Acid|Venlafaxine Hydrochloride,25.28,11
PRKCE,5581,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Epinephrine|Haloperidol|Lipopolysaccharides|Lithium|Methamphetamine|Norepinephrine|Phenobarbital|Valproic Acid|Venlafaxine Hydrochloride|Vitamin D,25.28,232
BDNF,627,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Chlorpromazine|Clozapine|Diazepam|Haloperidol|olanzapine|Quetiapine Fumarate|Risperidone,25.25,56
EGR2,1959,Schizophrenia,MESH:D012559,,Aripiprazole|Clozapine|Cocaine|Copper|Folic Acid|Haloperidol|Lipopolysaccharides|Methamphetamine|Methionine|Phenobarbital|Risperidone|Valproic Acid,25.21,303
HTR1B,3351,Schizophrenia,MESH:D012559,,Amphetamine|Carbamazepine|Cocaine|Fluoxetine|Folic Acid|Methionine|Plant Preparations|Propranolol|Valproic Acid|Venlafaxine Hydrochloride,25.19,13
SLC2A3,6515,Schizophrenia,MESH:D012559,,Amitriptyline|Caffeine|Carbamazepine|Chlorpromazine|Clozapine|Copper|Fluoxetine|Imipramine|Lipopolysaccharides|Sertraline|Thioridazine|Valproic Acid,25.00,173
IL10,3586,Schizophrenia,MESH:D012559,,Amitriptyline|Dextroamphetamine|Caffeine|Clonidine|Clozapine|Cocaine|Copper|Dopamine|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Glucocorticoids|Lipopolysaccharides|Methamphetamine|Methionine|Minocycline|Phenobarbital|Propranolol|Reserpine|Valproic Acid,24.96,155
GDNF,2668,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Apomorphine|Bromocriptine|Cocaine|Dopamine|Fluoxetine|Lipopolysaccharides|Lithium|Methamphetamine|Smoke,24.93,23
LDLR,3949,Schizophrenia,MESH:D012559,,Carbamazepine|Chlorpromazine|Clozapine|Copper|Folic Acid|Haloperidol|Lipopolysaccharides|Methionine|olanzapine|Phenobarbital|Plant Preparations|Reserpine|Risperidone|Valproic Acid,24.90,339
ABCB1A,18671,Schizophrenia,MESH:D012559,,Amitriptyline|Carbamazepine|Ketamine|Lipopolysaccharides|Methionine|Metoclopramide|Paliperidone Palmitate|Phenobarbital|Reserpine|Risperidone|Tetrachloroethylene|Valproic Acid|Vitamin A,24.71,112
